MUNICIPIO,MUNIC,POPULACAO,TOTAL_PER_CAPITA,COD_IBGE_SMALL,COD_IBGE,UF,TOTAL
ABADIA DE GOIÁS,ABADIA DE GOIÁS-GO,6182,1.9411193788,520005,5200050,GO,12000
ABADIA DOS DOURADOS,ABADIA DOS DOURADOS-MG,6777,0.8558359156,310010,3100104,MG,5800
ABADIÂNIA,ABADIÂNIA-GO,13209,5.7819668408,520010,5200100,GO,76374
ABAETÉ,ABAETÉ-MG,23193,1.072017419,310020,3100203,MG,24863.3
ABAETETUBA,ABAETETUBA-PA,138005,0.3523386109,150010,1500107,PA,48624.49
ABAÍRA,ABAÍRA-BA,8851,1.9946898656,290010,2900108,BA,17655
ABARÉ,ABARÉ-BA,18362,0.2224703191,290020,2900207,BA,4085
ABATIÁ,ABATIÁ-PR,7965,1.6823603264,410010,4100103,PR,13400
ABDON BATISTA,ABDON BATISTA-SC,2805,2.063030303,420005,4200051,SC,5786.8
ABEL FIGUEIREDO,ABEL FIGUEIREDO-PA,6879,20.5149004216,150013,1500131,PA,141122
ABELARDO LUZ,ABELARDO LUZ-SC,16870,6.8358008299,420010,4200101,SC,115319.96
ABRE CAMPO,ABRE CAMPO-MG,13204,3.5388382308,310030,3100302,MG,46726.82
ABREU E LIMA,ABREU E LIMA-PE,95670,0.0846033239,260005,2600054,PE,8094
ABREULÂNDIA,ABREULÂNDIA-TO,2310,3.9220779221,170025,1700251,TO,9060
ACAIACA,ACAIACA-MG,4206,0.3302163576,310040,3100401,MG,1388.89
AÇAILÂNDIA,AÇAILÂNDIA-MA,100017,0.366817641,210005,2100055,MA,36688
ACAJUTIBA,ACAJUTIBA-BA,15123,2.0145473782,290030,2900306,BA,30466
ACARÁ,ACARÁ-PA,48878,1.8957404149,150020,1500206,PA,92660
ACARAPE,ACARAPE-CE,15388,0.4698466337,230015,2300150,CE,7230
ACARAÚ,ACARAÚ-CE,54257,7.1353926682,230020,2300200,CE,387145
ACARI,ACARI-RN,11222,3.0424639102,240010,2400109,RN,34142.53
ACAUÃ,ACAUÃ-PI,6437,8.0358862824,220005,2200053,PI,51727
ACEGUÁ,ACEGUÁ-RS,4312,1.9248608534,430003,4300034,RS,8300
ACOPIARA,ACOPIARA-CE,50485,1.9858373774,230030,2300309,CE,100255
ACORIZAL,ACORIZAL-MT,5679,1.3206550449,510010,5100102,MT,7500
ACREÚNA,ACREÚNA-GO,19173,1.9799535806,520013,5200134,GO,37961.65
AÇUCENA,AÇUCENA-MG,11425,2.8673960613,310050,3100500,MG,32760
ADAMANTINA,ADAMANTINA-SP,34366,0.637627888,350010,3500105,SP,21912.72
ADELÂNDIA,ADELÂNDIA-GO,2596,4.0475115562,520015,5200159,GO,10507.34
ADRIANÓPOLIS,ADRIANÓPOLIS-PR,6875,1.7930181818,410020,4100202,PR,12327
ADUSTINA,ADUSTINA-BA,15354,0.9964830012,290035,2900355,BA,15300
AFOGADOS DA INGAZEIRA,AFOGADOS DA INGAZEIRA-PE,35314,0.8701931245,260010,2600104,PE,30730
AFONSO BEZERRA,AFONSO BEZERRA-RN,10628,0.0376364321,240030,2400307,RN,400
AFONSO CLÁUDIO,AFONSO CLÁUDIO-ES,31489,0.4922353838,320010,3200102,ES,15500
AFONSO CUNHA,AFONSO CUNHA-MA,5834,3.4452519712,210010,2100105,MA,20099.6
AFRÂNIO,AFRÂNIO-PE,17233,11.6878465734,260020,2600203,PE,201416.66
AFUÁ,AFUÁ-PA,32368,1.1681290163,150030,1500305,PA,37810
AGRESTINA,AGRESTINA-PE,22371,0.3330204282,260030,2600302,PE,7450
AGRICOLÂNDIA,AGRICOLÂNDIA-PI,5121,12.8945518453,220010,2200103,PI,66033
AGROLÂNDIA,AGROLÂNDIA-SC,9496,0.9597725358,420020,4200200,SC,9114
AGRONÔMICA,AGRONÔMICA-SC,4866,2.6263871763,420030,4200309,SC,12780
ÁGUA AZUL DO NORTE,ÁGUA AZUL DO NORTE-PA,30389,2.8516403962,150034,1500347,PA,86658.5
ÁGUA BOA,ÁGUA BOA-MG,16764,1.3208661417,310060,3100609,MG,22143
ÁGUA BOA,ÁGUA BOA-MT,19777,5.0144425343,510020,5100201,MT,99170.63
ÁGUA BRANCA,ÁGUA BRANCA-AL,19882,14.4120158938,270010,2700102,AL,286539.7
ÁGUA BRANCA,ÁGUA BRANCA-PB,9477,3.1655587211,250010,2500106,PB,30000
ÁGUA BRANCA,ÁGUA BRANCA-PI,16345,3.7106148669,220020,2200202,PI,60650
ÁGUA BRANCA DO AMAPARI,ÁGUA BRANCA DO AMAPARI-AP,,,,,AP,1600
ÁGUA CLARA,ÁGUA CLARA-MS,13623,0.8177347134,500020,5000203,MS,11140
ÁGUA COMPRIDA,ÁGUA COMPRIDA-MG,2159,1.4126910607,310070,3100708,MG,3050
ÁGUA DOCE DO MARANHÃO,ÁGUA DOCE DO MARANHÃO-MA,12213,2.3155653812,210015,2100154,MA,28280
ÁGUA DOCE DO NORTE,ÁGUA DOCE DO NORTE-ES,12163,0.205541396,320016,3200169,ES,2500
ÁGUA FRIA DE GOIÁS,ÁGUA FRIA DE GOIÁS-GO,5243,7.2415601755,520017,5200175,GO,37967.5
ÁGUA LIMPA,ÁGUA LIMPA-GO,2121,9.3026874116,520020,5200209,GO,19731
ÁGUA NOVA,ÁGUA NOVA-RN,2929,13.3220826221,240040,2400406,RN,39020.38
ÁGUA PRETA,ÁGUA PRETA-PE,30606,4.075426387,260040,2600401,PE,124732.5
ÁGUA SANTA,ÁGUA SANTA-RS,3638,0.0776525563,430005,4300059,RS,282.5
AGUAÍ,AGUAÍ-SP,31763,2.63616472,350030,3500303,SP,83732.5
AGUANIL,AGUANIL-MG,4248,1.8126177024,310080,3100807,MG,7700
ÁGUAS BELAS,ÁGUAS BELAS-PE,39421,0.2156211156,260050,2600500,PE,8500
ÁGUAS DA PRATA,ÁGUAS DA PRATA-SP,7684,0.0130140552,350040,3500402,SP,100
ÁGUAS DE CHAPECÓ,ÁGUAS DE CHAPECÓ-SC,6306,0.0792895655,420050,4200507,SC,500
ÁGUAS DE LINDÓIA,ÁGUAS DE LINDÓIA-SP,16335,1.0114784206,350050,3500501,SP,16522.5
ÁGUAS DE SANTA BÁRBARA,ÁGUAS DE SANTA BÁRBARA-SP,5580,3.7872741935,350055,3500550,SP,21132.99
ÁGUAS FORMOSAS,ÁGUAS FORMOSAS-MG,19189,1.9050737402,310090,3100906,MG,36556.46
ÁGUAS FRIAS,ÁGUAS FRIAS-SC,2632,6.2689969605,420055,4200556,SC,16500
ÁGUAS LINDAS DE GOIÁS,ÁGUAS LINDAS DE GOIÁS-GO,139804,3.5614553947,520025,5200258,GO,497905.710000001
ÁGUAS MORNAS,ÁGUAS MORNAS-SC,4520,6.0161504425,420060,4200606,SC,27193
ÁGUAS VERMELHAS,ÁGUAS VERMELHAS-MG,13179,1.0963138326,310100,3101003,MG,14448.32
AGUDO,AGUDO-RS,17114,1.9127614818,430010,4300109,RS,32735
AGUDOS,AGUDOS-SP,35872,0.6723907226,350070,3500709,SP,24120
AGUIARNÓPOLIS,AGUIARNÓPOLIS-TO,4120,15.7103082524,170030,1700301,TO,64726.47
